pick_as_of_date,pick_rank,symbol,companyName,sector,industry,latest_price,intraday_pick_score,predicted_next_day_low,predicted_next_day_high,predicted_range,predicted_range_pct,avg_abs_daily_move,max_abs_daily_move,return_5d_pct,pct_from_20d_high,pct_above_20d_low,up_days,observed_days,reasoning,pick_model,created_at,marketCap,rank_1y_performance,return_1d_pct,return_1y_pct,actual_date,actual_low,actual_high,actual_close,actual_intraday_range,actual_intraday_range_pct,actual_close_return_pct,range_capture_pct,hit_predicted_low,hit_predicted_high,closed_up,pick_result,actual_source
2026-06-04,1,COHR,Coherent Corp.,Information Technology,Electronic Components,421.8999938964844,93.36,402.933984375,440.8660034179687,37.932019042968705,8.990760747030384,18.966009521484363,63.990020751953125,11.924653199046809,-1.1689242148384849,32.17832346548279,3,5,estimated next-day range is 8.99% of price; average daily move is $18.97; 5-day momentum is positive at 11.92%; trading 1.17% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,79130236404.0,8,1.07,424.1,2026-06-05,375.0899963378906,417.760009765625,376.989990234375,42.670013427734375,10.113774364785536,-10.644703558144231,112.49075188799877,True,False,False,Good,high_low
2026-06-04,2,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",422.0499877929687,90.9,383.0979858398437,461.00198974609367,77.90400390624995,18.458477943248937,38.95200195312499,103.86001586914062,33.11780603775458,-9.423556628754614,83.28483083432312,3,5,estimated next-day range is 18.46% of price; average daily move is $38.95; 5-day momentum is positive at 33.12%; trading 9.42% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,263529861965.0,14,0.23,282.9,2026-06-05,386.2799987792969,412.8999938964844,394.3900146484375,26.6199951171875,6.307308585978588,-6.553719688317927,34.17025285275726,False,False,False,Weak,high_low
2026-06-04,3,ORCL,Oracle Corporation,Information Technology,Application Software,236.33999633789065,89.1,222.68399963378909,249.99599304199225,27.311993408203136,11.556229936280324,13.65599670410158,22.36999511718753,16.02356400522771,-4.759217348004563,30.243573015270652,3,5,estimated next-day range is 11.56% of price; average daily move is $13.66; 5-day momentum is positive at 16.02%; trading 4.76% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,638022034108.0,78,2.61,41.13,2026-06-05,209.4499969482422,231.44000244140625,213.67999267578125,21.990005493164062,9.3043944460951,-9.587883563183631,80.51409929880616,True,False,False,Good,high_low
2026-06-04,4,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",1759.6800537109375,89.08,1689.3160400390625,1830.0440673828125,140.72802734375,7.997364466737735,70.364013671875,115.1400146484375,7.190372920324961,-3.9213729887558,32.00801500510346,3,5,estimated next-day range is 8.00% of price; average daily move is $70.36; 5-day momentum is positive at 7.19%; trading 3.92% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,245754953401.0,1,-3.92,4454.04,2026-06-05,1514.3599853515625,1682.0,1559.3199462890625,167.6400146484375,9.526732674778373,-11.386166877287806,119.12340264597812,True,False,False,Good,high_low
2026-06-04,5,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,1092.6099853515625,88.96000000000001,1065.4531005859376,1119.7668701171874,54.31376953124982,4.971011638134866,27.156884765625023,51.5899658203125,8.831610536602374,0.0,18.529092406335668,4,5,estimated next-day range is 4.97% of price; average daily move is $27.16; 5-day momentum is positive at 8.83%; trading 0.00% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,316070958062.0,36,4.96,84.59,2026-06-05,1035.5999755859375,1098.3599853515625,1038.6800537109375,62.760009765625,5.7440450487399755,-4.935881271785403,115.55082681108256,True,False,False,Good,high_low
2026-06-04,6,IBM,IBM,Information Technology,IT Consulting & Other Services,301.7699890136719,88.60000000000001,283.27598266601564,320.2639953613281,36.98801269531248,12.257021586608705,18.49400634765625,33.579986572265625,14.211637127956568,-8.340680088789531,40.593547275338615,3,5,estimated next-day range is 12.26% of price; average daily move is $18.49; 5-day momentum is positive at 14.21%; trading 8.34% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,271048825651.0,140,-1.26,16.7,2026-06-05,281.07000732421875,302.29998779296875,284.8399963378906,21.22998046875,7.035153011119394,-5.610230736037247,57.3969211150414,True,False,False,Okay,high_low
2026-06-04,7,CDNS,Cadence Design Systems,Information Technology,Application Software,411.6799926757813,88.02,400.75798950195315,422.60199584960947,21.84400634765632,5.30606459781483,10.922003173828136,39.23001098632807,10.119027940256586,-1.13115632146773,21.755589323576977,4,5,estimated next-day range is 5.31% of price; average daily move is $10.92; 5-day momentum is positive at 10.12%; trading 1.13% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,107543417570.0,81,0.9,40.35,2026-06-05,373.5400085449219,407.0,376.19000244140625,33.459991455078125,8.127670047212995,-8.620771197478428,153.17699016631215,True,False,False,Good,high_low
2026-06-04,8,MU,Micron Technology,Information Technology,Semiconductors,996.0,87.38,948.076025390625,1043.923974609375,95.84794921874992,9.62328807417168,47.923974609375,83.5699462890625,7.848230567382664,-7.741040455630288,54.02935101666109,4,5,estimated next-day range is 9.62% of price; average daily move is $47.92; 5-day momentum is positive at 7.85%; trading 7.74% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,1060588790383.0,4,-7.74,876.41,2026-06-05,864.010009765625,961.8900146484376,864.010009765625,97.88000488281261,9.827309727190022,-13.252007051644076,102.12008256892906,True,False,False,Good,high_low
2026-06-04,9,CRWD,CrowdStrike,Information Technology,Systems Software,719.0900268554688,86.86,684.2400390625,753.9400146484375,69.69997558593741,9.69280242847069,34.84998779296875,60.0,7.166919054466292,-8.064737516516685,42.19133613852224,2,5,estimated next-day range is 9.69% of price; average daily move is $34.85; 5-day momentum is positive at 7.17%; trading 8.06% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,176623439344.0,70,-3.81,47.13,2026-06-05,670.0999755859375,706.219970703125,671.02001953125,36.1199951171875,5.02301433314793,-6.684838549969275,51.82210583797541,True,False,False,Okay,high_low
2026-06-04,10,DDOG,Datadog,Information Technology,Application Software,243.6000061035156,86.46000000000001,226.37201232910152,260.82799987792964,34.45598754882812,14.144493713266312,17.227993774414063,30.139984130859403,8.151305346557859,-12.213047433615564,29.07328544381993,2,5,estimated next-day range is 14.14% of price; average daily move is $17.23; 5-day momentum is positive at 8.15%; trading 12.21% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,84579700726.0,29,-2.69,105.29,2026-06-05,230.57000732421875,241.61000061035156,234.11000061035156,11.039993286132812,4.5320168347785135,-3.895732863459511,32.04085580332842,False,False,False,Weak,high_low
