iteration,accuracy,correct_predictions,total_predictions,train_days,test_days
1,0.51904,6488,12500,50,50
2,0.48096,6012,12500,50,50
3,0.51904,6488,12500,50,50
4,0.48096,6012,12500,50,50
5,0.51904,6488,12500,50,50
6,0.48096,6012,12500,50,50
7,0.51904,6488,12500,50,50
8,0.48096,6012,12500,50,50
9,0.51904,6488,12500,50,50
10,0.48096,6012,12500,50,50
11,0.51904,6488,12500,50,50
12,0.48096,6012,12500,50,50
13,0.51904,6488,12500,50,50
14,0.48096,6012,12500,50,50
15,0.51904,6488,12500,50,50
