rank_1y_performance,symbol,companyName,exchange,sector,industry,marketCap,as_of_date,latest_price,return_1d_pct,return_5d_pct,return_1m_pct,return_3m_pct,return_6m_pct,return_1y_pct,ytd_return_pct,one_year_high,drawdown_from_1y_high_pct,observations
68,HWM,Howmet Aerospace,US,Industrials,Aerospace & Defense,100787072526.0,2026-06-05,251.9,1.03,-2.46,-1.72,0.75,29.78,45.15,19.1,273.58,-7.92,288
69,NVDA,Nvidia,US,Information Technology,Semiconductors,4967727247833.0,2026-06-05,205.1,-6.2,-2.75,-1.2,15.48,14.35,44.72,8.74,235.4656,-12.9,288
70,DVN,Devon Energy,US,Energy,Oil & Gas Exploration & Production,51072688170.0,2026-06-05,44.28,-3.72,-0.47,-4.98,0.07,18.86,43.94,17.54,52.07,-14.96,288
71,EBAY,eBay Inc.,US,Consumer Discretionary,Broadline Retail,48551399323.0,2026-06-05,109.35,0.18,0.07,1.39,18.28,34.17,43.65,26.37,118.6311,-7.82,288
72,NXPI,NXP Semiconductors,US,Information Technology,Semiconductors,74721338383.0,2026-06-05,295.96,-8.15,-7.9,-2.5,47.47,31.32,43.61,34.44,332.67,-11.03,288
73,FTNT,Fortinet,US,Information Technology,Systems Software,105999563844.0,2026-06-05,144.68,-3.33,4.86,60.84,72.92,74.82,42.37,85.77,149.67,-3.33,288
74,CVX,Chevron Corporation,US,Energy,Integrated Oil & Gas,373046166319.0,2026-06-05,187.31,-0.55,2.66,2.09,-0.48,25.92,42.07,22.43,209.2336,-10.48,288
75,ROK,Rockwell Automation,US,Industrials,Electrical Components & Equipment,49707186594.0,2026-06-05,446.71,-3.36,-0.96,-2.45,21.16,12.31,42.06,12.82,463.41,-3.6,288
76,FANG,Diamondback Energy,US,Energy,Oil & Gas Exploration & Production,54186565895.0,2026-06-05,192.62,-5.09,0.6,-0.72,7.28,23.02,41.79,27.9,212.5211,-9.36,288
77,MNST,Monster Beverage,US,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,87580629235.0,2026-06-05,89.55,1.14,1.67,16.0,18.44,21.03,41.78,17.58,89.55,0.0,288
78,JCI,Johnson Controls,US,Industrials,Building Products,87643102647.0,2026-06-05,143.65,-2.54,7.15,0.36,8.83,26.15,41.32,17.81,147.4,-2.54,288
79,COP,ConocoPhillips,US,Energy,Oil & Gas Exploration & Production,142710959236.0,2026-06-05,117.14,-1.75,2.77,-0.75,0.8,29.54,40.81,22.99,132.813,-11.8,288
80,MCHP,Microchip Technology,US,Information Technology,Semiconductors,47887281698.0,2026-06-05,88.34,-8.27,-6.67,-13.74,37.07,40.4,40.31,37.33,102.406,-13.74,288
81,PANW,Palo Alto Networks,US,Information Technology,Systems Software,221720740051.0,2026-06-05,272.05,-2.58,-3.42,48.11,64.83,40.5,40.18,51.67,300.48,-9.46,288
82,FITB,Fifth Third Bancorp,US,Financials,Regional Banks,47137262090.0,2026-06-05,52.01,0.41,4.17,2.3,10.95,17.79,40.12,10.0,54.5869,-4.72,288
83,OXY,Occidental Petroleum,US,Energy,Oil & Gas Exploration & Production,56624553831.0,2026-06-05,56.93,-2.97,0.53,3.28,5.56,35.53,38.78,34.97,66.24,-14.05,288
84,ETR,Entergy,US,Utilities,Electric Utilities,50706388459.0,2026-06-05,110.74,1.34,1.55,-1.97,6.35,18.93,38.69,19.41,117.36,-5.64,288
85,WELL,Welltower,US,Real Estate,Health Care REITs,146074871968.0,2026-06-05,206.93,3.03,0.78,-4.08,1.64,3.2,38.19,11.47,220.14,-6.0,288
86,PLD,Prologis,US,Real Estate,Industrial REITs,134760128260.0,2026-06-05,144.54,0.52,0.75,1.15,8.3,13.66,37.93,12.9,146.94,-1.63,288
87,HLT,Hilton Worldwide,US,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",78106157823.0,2026-06-05,343.1,1.46,4.71,6.76,14.94,22.55,37.84,17.22,343.1,0.0,288
88,EA,Electronic Arts,US,Communication Services,Interactive Home Entertainment,50902551252.0,2026-06-05,203.0,-0.2,0.63,1.2,2.62,0.09,37.28,-0.5,204.4031,-0.69,288
89,UNH,UnitedHealth Group,US,Health Care,Managed Health Care,362776446174.0,2026-06-05,399.47,0.76,5.04,8.76,40.52,19.3,36.74,19.67,401.16,-0.42,288
